Team,Points,wins,Losess,Drew,Goals Scored,Goals Against,Goal Difference,Goals per game,Goals Against per game,Goals Against points
Bayern Munich,82,25,2,7,89,22,67,2.6176470588235294,0.6470588235294118,1.0853658536585367
RB Leipzig,67,20,7,7,66,39,27,1.9411764705882353,1.1470588235294117,0.9850746268656716
Dortmund,64,18,6,10,72,40,32,2.1176470588235294,1.1764705882352942,1.125
Hoffenheim,62,16,4,14,64,37,27,1.8823529411764706,1.088235294117647,1.032258064516129
FC Koln,49,12,9,13,51,42,9,1.5,1.2352941176470589,1.0408163265306123
Hertha,49,15,15,4,43,47,-4,1.2647058823529411,1.3823529411764706,0.8775510204081632
Freiburg,48,14,14,6,42,60,-18,1.2352941176470589,1.7647058823529411,0.875
M'gladbach,45,12,13,9,45,49,-4,1.3235294117647058,1.4411764705882353,1.0
Werder Bremen,45,13,15,6,61,64,-3,1.7941176470588236,1.8823529411764706,1.3555555555555556
Schalke 04,43,11,13,10,45,40,5,1.3235294117647058,1.1764705882352942,1.0465116279069768
Ein Frankfurt,42,11,14,9,36,43,-7,1.0588235294117647,1.2647058823529411,0.8571428571428571
Leverkusen,41,11,15,8,53,55,-2,1.5588235294117647,1.6176470588235294,1.2926829268292683
Augsburg,38,9,14,11,35,51,-16,1.0294117647058822,1.5,0.9210526315789473
Hamburg,38,10,16,8,33,61,-28,0.9705882352941176,1.7941176470588236,0.868421052631579
Mainz,37,10,17,7,44,55,-11,1.2941176470588236,1.6176470588235294,1.1891891891891893
Wolfsburg,37,10,17,7,34,52,-18,1.0,1.5294117647058822,0.918918918918919
Ingolstadt,32,8,18,8,36,57,-21,1.0588235294117647,1.6764705882352942,1.125
Darmstadt,25,7,23,4,28,63,-35,0.8235294117647058,1.8529411764705883,1.12
