Team,Points,wins,Losess,Drew,Goals Scored,Goals Against,Goal Difference,Goals per game,Goals Against per game,Goals per point
Barcelona,94,30,4,4,110,21,89,2.8947368421052633,0.5526315789473685,1.1702127659574468
Real Madrid,92,30,6,2,118,38,80,3.1052631578947367,1.0,1.2826086956521738
Ath Madrid,78,23,6,9,67,29,38,1.763157894736842,0.7631578947368421,0.8589743589743589
Valencia,77,22,5,11,70,32,38,1.8421052631578947,0.8421052631578947,0.9090909090909091
Sevilla,76,23,8,7,71,45,26,1.868421052631579,1.1842105263157894,0.9342105263157895
Villarreal,60,16,10,12,48,37,11,1.263157894736842,0.9736842105263158,0.8
Ath Bilbao,55,15,13,10,42,41,1,1.105263157894737,1.0789473684210527,0.7636363636363637
Celta,51,13,13,12,47,44,3,1.236842105263158,1.1578947368421053,0.9215686274509803
Malaga,50,14,16,8,42,48,-6,1.105263157894737,1.263157894736842,0.84
Espanol,49,13,15,10,47,51,-4,1.236842105263158,1.3421052631578947,0.9591836734693877
Vallecano,49,15,19,4,46,68,-22,1.2105263157894737,1.7894736842105263,0.9387755102040817
Sociedad,46,11,14,13,44,51,-7,1.1578947368421053,1.3421052631578947,0.9565217391304348
Elche,41,11,19,8,35,62,-27,0.9210526315789473,1.631578947368421,0.8536585365853658
Getafe,37,10,21,7,33,64,-31,0.868421052631579,1.6842105263157894,0.8918918918918919
Levante,37,9,19,10,34,67,-33,0.8947368421052632,1.763157894736842,0.918918918918919
Eibar,35,9,21,8,34,55,-21,0.8947368421052632,1.4473684210526316,0.9714285714285714
Granada,35,7,17,14,29,64,-35,0.7631578947368421,1.6842105263157894,0.8285714285714286
La Coruna,35,7,17,14,35,60,-25,0.9210526315789473,1.5789473684210527,1.0
Almeria,32,8,22,8,35,64,-29,0.9210526315789473,1.6842105263157894,1.09375
Cordoba,20,3,24,11,22,68,-46,0.5789473684210527,1.7894736842105263,1.1
