Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Arsenal,10,4,14,3,7,36,20,24,24
Aston Villa,7,2,8,9,12,22,19,30,37
Bournemouth,5,4,7,8,14,22,18,30,35
Brighton,5,4,14,7,8,20,19,27,27
Burnley,8,7,9,7,7,24,19,23,27
Chelsea,11,9,6,5,7,30,39,16,38
Crystal Palace,6,5,10,8,9,15,16,20,30
Everton,8,5,10,4,11,24,20,21,35
Leicester,11,7,8,4,8,35,32,17,24
Liverpool,18,14,3,0,3,52,33,16,17
Man City,15,11,3,2,7,57,45,13,22
Man United,10,8,12,2,6,40,26,17,19
Newcastle,6,5,11,5,11,20,18,21,37
Norwich,4,1,6,12,15,19,7,37,38
Sheffield United,10,4,12,6,6,24,15,15,24
Southampton,6,9,7,10,6,21,30,35,25
Tottenham,12,4,11,4,7,36,25,17,30
Watford,6,2,10,7,13,22,14,27,37
West Ham,6,4,9,9,10,30,19,33,29
Wolves,8,7,14,4,5,27,24,19,21
